comment,album,track_number,channels,sample_rate_hz,size_bytes,bit_depth,frames,genre,error,duration_seconds,title,year,artist,file
,The Best Of Kansas,1/10,1,44100,28545394,16,14272541,Rock,,323.640385,Carry On Wayward Son,1976,Kansas,D:\Tim\Personal\Projects\Tim Alarm Clock\01 Carry On Wayward Son.wav
mp3.com/music/Electronica/541.,Ghost In A Shell,1,1,44100,46780880,16,23390208,Data & Other,,530.390204,Ghost In A Shell,2002,Ghost In The Shell,D:\Tim\Personal\Projects\Tim Alarm Clock\01 Ghost In A Shell.wav
                            ,"Eagles Greatest Hits, Vol. 2",1,1,44100,34380686,16,17190144,Rock,,389.799184,Hotel California,1982,Eagles,D:\Tim\Personal\Projects\Tim Alarm Clock\01 Hotel California.wav
,Various,1,1,44100,17178942,16,8589312,country,,194.76898,I love A Rainy Night,,No.1 Country Hits Of The '70s & '80s,D:\Tim\Personal\Projects\Tim Alarm Clock\01 I love A Rainy Night.wav
,Walking Into Clarksdale,1/12,1,44100,21227912,16,10613789,Rock,,240.675488,Shining In The Light,1998,Page & Plant,D:\Tim\Personal\Projects\Tim Alarm Clock\01 Shining In The Light.wav
Created with Jukka Poikolainen's Easy CD-DA Extractor 4.3.0 (http://www.poikosoft.com),Nevermind,1,1,44100,26561108,16,13280256,Grunge,,301.139592,Smells Like Teen Spirit,1991,Nirvana,D:\Tim\Personal\Projects\Tim Alarm Clock\01 Smells Like Teen Spirit.wav
,Feels Like Home,1/13,1,44100,17697110,16,8848413,Pop,,200.644286,Sunrise,2004,Norah Jones,D:\Tim\Personal\Projects\Tim Alarm Clock\01 Sunrise.wav
Created with Jukka Poikolainen's Easy CD-DA Extractor 4.3.0 (http://www.poikosoft.com),...And Justice For All,2,1,44100,51732346,16,25865856,Speed Metal,,586.527347,...And Justice For All,1988,Metallica,D:\Tim\Personal\Projects\Tim Alarm Clock\02 ...And Justice For All.wav
                            ,Blizzard of Ozz,2,1,44100,25731446,16,12865536,Metal,,291.73551,Crazy Train,1980,Ozzy Osbourne,D:\Tim\Personal\Projects\Tim Alarm Clock\02 Crazy Train.wav
,Sleep Through The Static,2,1,44100,19708332,16,9853981,Adult Alternative Pop,,223.446281,Sleep Through The Static,2008,Jack Johnson,D:\Tim\Personal\Projects\Tim Alarm Clock\02 Sleep Through The Static 1.wav
,Pretty Hate Machine,3/10,1,44100,19970442,16,9985053,Electronica/Dance,,226.418435,Down In It,1989,Nine Inch Nails,D:\Tim\Personal\Projects\Tim Alarm Clock\03 Down In It.wav
Created with Jukka Poikolainen's Easy CD-DA Extractor 4.3.0 (http://www.poikosoft.com),Ride The Lightning,3,1,44100,27339892,16,13669632,Speed Metal,,309.96898,For Whom The Bell Tolls,1984,Metallica,D:\Tim\Personal\Projects\Tim Alarm Clock\03 For Whom The Bell Tolls.wav
", AG# B0B3C6E7",In Utero,3,1,44100,24828270,16,12413952,Grunge,,281.49551,Heart-Shaped Box,1993,Nirvana,D:\Tim\Personal\Projects\Tim Alarm Clock\03 Heart-Shaped Box.wav
                            ,Blizzard of Ozz,4,1,44100,4557702,16,2278656,Metal,,51.670204,Dee [Instrumental],1980,Ozzy Osbourne,D:\Tim\Personal\Projects\Tim Alarm Clock\04 Dee [Instrumental].wav
,The Best Of Kansas,4/10,1,44100,18178410,16,9089053,Rock,,206.100975,Dust In The Wind,1977,Kansas,D:\Tim\Personal\Projects\Tim Alarm Clock\04 Dust In The Wind.wav
Created with Jukka Poikolainen's Easy CD-DA Extractor 4.3.0 (http://www.poikosoft.com),...And Justice For All,4,1,44100,39468116,16,19733760,Speed Metal,,447.477551,One,1988,Metallica,D:\Tim\Personal\Projects\Tim Alarm Clock\04 One.wav
,Led Zeppelin IV,4,1,44100,42604908,16,21302301,Rock,,483.045374,Stairway to Heaven,1971,Led Zeppelin,D:\Tim\Personal\Projects\Tim Alarm Clock\04 Stairway to Heaven.wav
,Black Album,4/12,1,44100,34146654,16,17073181,Metal,,387.146961,The Unforgiven,1991,Metallica,D:\Tim\Personal\Projects\Tim Alarm Clock\04 The Unforgiven.wav
Created with Jukka Poikolain,"Bad, Bad Leroy Brown & Other Favorites",4,1,44100,12202500,16,6100992,Folk Singer-Songwriter,,138.34449,Which Way Are You Goin',1979,Jim Croce,D:\Tim\Personal\Projects\Tim Alarm Clock\04 Which Way Are You Goin'.wav
                            ,Throwing Copper,5,1,44100,28876398,16,14438016,Pop,,327.392653,Lightning Crashes,1994,Live,D:\Tim\Personal\Projects\Tim Alarm Clock\05 Lightning Crashes.wav
Created with Jukka Poikolainen's Easy CD-DA Extractor 4.3.0 (http://www.poikosoft.com),Nevermind,5,1,44100,22667316,16,11333376,Grunge,,256.992653,Lithium,1991,Nirvana,D:\Tim\Personal\Projects\Tim Alarm Clock\05 Lithium.wav
,"O Brother, Where Art Thou?",5,1,44100,16761190,16,8380416,Soundtrack,,190.032109,Man of Constant Sorrow,,Dan Tyminski; Soggy Bottom Boys,D:\Tim\Personal\Projects\Tim Alarm Clock\05 Man of Constant Sorrow.wav
,Photographs & Memories: His Greatest Hits,5,1,44100,12921238,16,6460445,Rock,,146.495351,Time in a Bottle,1974,Jim Croce,D:\Tim\Personal\Projects\Tim Alarm Clock\05 Time in a Bottle.wav
Created with Jukka Poikolainen's Easy CD-DA Extractor 4.3.0 (http://www.poikosoft.com),Skynyrd's Innyrds,6,1,44100,53603172,16,26801280,Southern Rock,,607.738776,Free Bird,1973,Lynyrd Skynyrd,D:\Tim\Personal\Projects\Tim Alarm Clock\06 Free Bird.wav
                            ,Led Zeppelin IV,7,1,44100,18660484,16,9330048,Rock,,211.565714,Going to California,1971,Led Zeppelin,D:\Tim\Personal\Projects\Tim Alarm Clock\07 Going to California.wav
Created with Jukka Poikolainen's Easy CD-DA Extractor 4.3.0 (http://www.poikosoft.com),Teaser And The Firecat,7,1,44100,17651562,16,8825472,Rock,,200.124082,Morning Has Broken,1971,Cat Stevens,D:\Tim\Personal\Projects\Tim Alarm Clock\07 Morning Has Broken.wav
Created with Jukka Poikolainen's Easy CD-DA Extractor 4.3.0 (http://www.poikosoft.com),Teaser And The Firecat,9,1,44100,15232346,16,7615872,Rock,,172.69551,Moonshadow,1971,Cat Stevens,D:\Tim\Personal\Projects\Tim Alarm Clock\09 Moonshadow.wav
,Black Album,9/12,1,44100,22632798,16,11316253,Metal,,256.604376,Of Wolf And Man,1991,Metallica,D:\Tim\Personal\Projects\Tim Alarm Clock\09 Of Wolf And Man.wav
                            ,(What's the Story) Morning Glory?,10,1,44100,26738320,16,13368960,Rock,,303.15102,Morning Glory,1995,Oasis,D:\Tim\Personal\Projects\Tim Alarm Clock\10 Morning Glory.wav
                            ,"Eine kleine Nachtmusik, ""Haffner"" Serenade",11,1,44100,28846474,16,14423040,Classical,,327.053061,Menuetto,,Mozart,D:\Tim\Personal\Projects\Tim Alarm Clock\11 Menuetto.wav
,King James Version,11/12,1,44100,24691054,16,12345373,Rock,,279.940431,Underground,2000,Harvey Danger,D:\Tim\Personal\Projects\Tim Alarm Clock\11 Underground.wav
Created with Jukka Poikolainen's Easy CD-DA Extractor 4.3.0 (http://www.poikosoft.com),25 Bach Favorites,13,1,44100,27365316,16,13682304,Baroque Era,,310.256327,Concerto for 2 Harpsichords in C minor (II. Adagio),1996,Johann Sebastian Bach,D:\Tim\Personal\Projects\Tim Alarm Clock\13 Concerto for 2 Harpsichords in C.wav
                            ,SUPER MARIO GALAXY ORIGINAL SOUNDTRACK,25,1,44100,17872586,16,8936064,Games,,202.631837,Super Mario Galaxy,2007,Mario Galaxy Orchestra,D:\Tim\Personal\Projects\Tim Alarm Clock\25 Super Mario Galaxy.wav
Created with Jukka Poikolainen's Easy CD-DA Extractor 4.3.0 (http://www.poikosoft.com),,8,1,44100,19084510,16,9542016,,,216.372245,500 Miles,,,D:\Tim\Personal\Projects\Tim Alarm Clock\500 miles.wav
Yea,,,1,44100,21514996,16,10757376,Other,,243.931429,Eye of the Tiger,,Survivor,D:\Tim\Personal\Projects\Tim Alarm Clock\80's -Survivor - Eye of the Tiger (from ROCKY).wav
Created with Jukka Poikolainen's Easy CD-DA Extractor 4.3.0 (http://www.poikosoft.com),,9,1,44100,27860498,16,13929984,,,315.872653,angel of the morning,,pretenders,D:\Tim\Personal\Projects\Tim Alarm Clock\angel of the morning - pretenders.wav
Created with Jukka Poikolainen's Easy CD-DA Extractor 4.3.0 (http://www.poikosoft.com),,4,1,44100,15849740,16,7924608,Other,,179.696327,Three Little Birds,,Bob Marley,D:\Tim\Personal\Projects\Tim Alarm Clock\Bob Marley - Three Little Birds.wav
Created with Jukka Poikolainen's Easy CD-DA Extractor 4.3.0 (http://www.poikosoft.com),,7,1,44100,13285370,16,6642432,Other,,150.622041,Peggy Sue,,Buddy Holly,D:\Tim\Personal\Projects\Tim Alarm Clock\Buddy Holly Peggy Sue.wav
                              ,,,1,44100,19296270,16,9648000,Other,,218.77551,Volcano,,Jimmy Buffet,D:\Tim\Personal\Projects\Tim Alarm Clock\Jimmy Buffet - Volcano.wav
                            ,Songs You Know By Heart-Jimmy,1,1,44100,15146922,16,7573248,Pop,,171.72898,Cheeseburger In Paradise,1999,Jimmy Buffett,D:\Tim\Personal\Projects\Tim Alarm Clock\Jimmy Buffett - Cheeseburger In Paradise.wav
Created with Jukka Poikolainen's Easy CD-DA Extractor 4.3.0 (http://www.poikosoft.com),Silver\disc1,2,1,44100,23522102,16,11760768,Other,,266.684082,magic carpet ride,,Steppenwolf,D:\Tim\Personal\Projects\Tim Alarm Clock\magic carpet ride.wav
                              ,,,1,44100,16552214,16,8275968,Other,,187.663673,Daydream believer,,Monkees,D:\Tim\Personal\Projects\Tim Alarm Clock\Monkees - Daydream Believer.wav
Created with Jukka Poikolainen's Easy CD-DA Extractor 4.3.0 (http://www.poikosoft.com),,7,1,44100,17651468,16,8825472,Other,,200.124082,Morning Has Broken,,Cat Stevens,D:\Tim\Personal\Projects\Tim Alarm Clock\Morning Has Broken.wav
